frame,x,y,vx,vy,speed,direction,distance_since_last_hit
0,892.0,645.0,0.0,0.0,0.0,0,0.0
1,892.0,645.0,0.0,0.0,0.0,0,0.0
2,892.0,645.0,0.0,0.0,0.0,0,0.0
3,892.0,645.0,0.0,0.0,0.0,0,0.0
4,892.0,645.0,0.0,0.0,0.0,0,0.0
5,892.0,645.0,0.0,0.0,0.0,0,0.0
6,892.0,645.0,0.0,0.0,0.0,0,0.0
7,892.0,645.0,0.0,0.0,0.0,0,0.0
8,892.0,645.0,0.0,0.0,0.0,0,0.0
9,892.0,645.0,0.0,0.0,0.0,0,0.0
10,892.0,645.0,0.0,0.0,0.0,0,0.0
11,892.0,645.0,0.0,0.0,0.0,0,0.0
12,892.0,645.0,0.0,0.0,0.0,0,0.0
13,892.0,645.0,0.0,0.0,0.0,0,0.0
14,892.0,645.0,0.0,0.0,0.0,0,0.0
15,892.0,645.0,0.0,0.0,0.0,0,0.0
16,892.0,645.0,0.0,0.0,0.0,0,0.0
17,892.0,645.0,0.0,0.0,0.0,0,0.0
18,892.0,645.0,0.0,0.0,0.0,0,0.0
19,892.0,645.0,0.0,0.0,0.0,0,0.0
20,892.0,645.0,0.0,0.0,0.0,0,0.0
21,892.0,645.0,0.0,0.0,0.0,0,0.0
22,892.0,645.0,0.0,0.0,0.0,0,0.0
23,892.0,645.0,0.0,0.0,0.0,0,0.0
24,892.0,645.0,0.0,0.0,0.0,0,0.0
25,892.0,645.0,0.0,0.0,0.0,0,0.0
26,892.0,645.0,0.0,0.0,0.0,0,0.0
27,892.0,645.0,0.0,0.0,0.0,0,0.0
28,885.0,649.6666666666666,-58.3691074495833,38.91273829972189,70.15093660417973,0,0.0
29,878.0,654.3333333333334,-58.734469741677486,39.15631316111896,70.59004743026914,0,0.0
30,871.0,659.0,-59.68767381722966,39.79178254481945,71.73565615373013,0,0.0
31,872.0,659.0,8.638858451626723,0.0,8.638858451626723,1,0.0
